Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
22 mar 2024,CI,Concepción,Av. San Juan Bosco,null,750.875,444.15,21236
29 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,3519.109589041096,1907.1780821917807,21171
11 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,2574.4628099173556,592.2148760330579,21066
6 abr 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,HAZARD,992.4068965517241,333.2344827586207,21046
25 sept 2023,CI,Concepción,Av. Jorge Alessandri,null,2680.301369863014,289.5753424657534,20929
30 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,2738.1494252873563,867.528735632184,20903
16 ago 2023,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1456,404.72727272727275,20874
6 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,3218.9882352941177,1251.7529411764706,20785
29 jun 2023,CI,Concepción,Av. Costanera,null,1885.1639344262296,360.11475409836066,20784
31 oct 2023,CI,Concepción,Av. Jorge Alessandri,null,2560.6708860759495,363.7848101265823,20752
21 ago 2023,CI,Hualpén,Av. Jorge Alessandri,null,1454.3368421052633,541.0105263157894,20747
3 may 2024,CI,Hualpén,Av. Jorge Alessandri,null,1974,319.77358490566036,20721
16 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1997.3551401869158,467.50467289719626,20531
2 oct 2023,CI,Concepción,Av. Jorge Alessandri,null,2464.057971014493,395.1159420289855,20374
17 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2993.3260869565215,1415.141304347826,20281
22 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3122.593023255814,1596.8255813953488,20277
3 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,3550.875,1056.6363636363637,20169
6 may 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2652.1190476190477,1124.2380952380952,20145
29 abr 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2378.7719298245615,779.2456140350877,20119
27 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2020.421052631579,919,20110
14 feb 2024,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1449.2380952380952,707.1428571428571,20080
